Algorithm,Size,Start,End,RuntimeSec,Path_Cost,Memory_MB
A_Star,26,"(2, 6)","(25, 24)",0.0017502307891845703,41.0,0.5
A_Star,104,"(22, 11)","(82, 92)",0.04911994934082031,141.0,0.5
A_Star,98,"(23, 5)","(77, 91)",0.017236948013305664,140.0,0.5
A_Star,79,"(71, 16)","(60, 58)",0.012482404708862305,53.0,0.5
A_Star,60,"(7, 7)","(52, 49)",0.006893157958984375,87.0,0.5
A_Star,32,"(3, 0)","(31, 31)",0.0035047531127929688,59.0,0.5
A_Star,75,"(29, 1)","(28, 12)",0.0010521411895751953,12.0,0.5
A_Star,13,"(0, 3)","(12, 11)",0.00038552284240722656,20.0,0.5
A_Star,122,"(64, 84)","(81, 115)",0.0242767333984375,48.0,0.5
A_Star,13,"(2, 0)","(11, 11)",0.0002827644348144531,20.0,0.5
A_Star,78,"(13, 10)","(74, 58)",0.010826826095581055,109.0,0.5
A_Star,58,"(12, 30)","(14, 53)",0.004929304122924805,25.0,0.5
A_Star,71,"(24, 19)","(15, 24)",0.0009500980377197266,14.0,0.5
A_Star,95,"(76, 22)","(69, 66)",0.005959033966064453,51.0,0.5
A_Star,38,"(1, 1)","(29, 32)",0.0020918846130371094,59.0,0.5
A_Star,31,"(1, 7)","(28, 25)",0.0011124610900878906,45.0,0.5
A_Star,103,"(25, 17)","(98, 87)",0.023534536361694336,143.0,0.5
A_Star,150,"(51, 63)","(149, 148)",0.05846881866455078,183.0,0.5
A_Star,58,"(5, 13)","(43, 55)",0.012100934982299805,80.0,0.5
A_Star,71,"(28, 3)","(57, 32)",0.029288053512573242,58.0,0.5
A_Star,42,"(9, 12)","(22, 26)",0.0038704872131347656,27.0,0.5
A_Star,142,"(22, 28)","(127, 125)",0.0712423324584961,202.0,0.5
A_Star,77,"(12, 5)","(68, 69)",0.010619878768920898,120.0,0.5
A_Star,61,"(0, 2)","(58, 49)",0.011357545852661133,105.0,0.5
A_Star,90,"(22, 2)","(76, 72)",0.01297760009765625,124.0,0.5
A_Star,94,"(8, 20)","(75, 79)",0.01944255828857422,126.0,0.5
A_Star,57,"(40, 28)","(55, 44)",0.008739709854125977,31.0,0.5
A_Star,33,"(29, 25)","(14, 28)",0.0005240440368652344,18.0,0.5
A_Star,59,"(55, 5)","(36, 56)",0.009663820266723633,70.0,0.5
A_Star,66,"(15, 5)","(56, 62)",0.009695053100585938,98.0,0.5
A_Star,132,"(7, 21)","(113, 115)",0.04132413864135742,200.0,0.5
A_Star,77,"(13, 14)","(66, 68)",0.018286705017089844,107.0,0.5
A_Star,74,"(18, 7)","(66, 71)",0.015122175216674805,112.0,0.5
A_Star,133,"(17, 32)","(123, 100)",0.034600019454956055,174.0,0.5
A_Star,29,"(7, 6)","(24, 21)",0.001027822494506836,32.0,0.5
A_Star,75,"(18, 16)","(71, 58)",0.014383316040039062,95.0,0.5
A_Star,54,"(1, 8)","(48, 53)",0.006825923919677734,92.0,0.5
A_Star,80,"(1, 8)","(66, 76)",0.01572394371032715,133.0,0.5
A_Star,147,"(89, 22)","(63, 35)",0.0057332515716552734,39.0,0.5
A_Star,34,"(0, 0)","(33, 27)",0.0021598339080810547,60.0,0.5
A_Star,70,"(7, 10)","(53, 63)",0.02238297462463379,99.0,0.5
A_Star,26,"(5, 5)","(21, 20)",0.0007534027099609375,31.0,0.5
A_Star,122,"(14, 27)","(103, 96)",0.035167694091796875,158.0,0.5
A_Star,131,"(30, 24)","(108, 98)",0.029552698135375977,152.0,0.5
A_Star,37,"(15, 36)","(20, 26)",0.0004677772521972656,15.0,0.5
A_Star,33,"(25, 3)","(6, 0)",0.0012507438659667969,22.0,0.5
A_Star,19,"(4, 2)","(16, 17)",0.0004439353942871094,27.0,0.5
A_Star,66,"(50, 10)","(13, 22)",0.005469083786010742,49.0,0.5
A_Star,57,"(9, 42)","(17, 52)",0.001880645751953125,18.0,0.5
A_Star,62,"(2, 13)","(55, 61)",0.009891510009765625,101.0,0.5
A_Star,69,"(1, 2)","(59, 65)",0.015215158462524414,121.0,0.5
