node_id,x,y
154751519,-82.4527547,38.4075984
154751520,-82.45102,38.4079016
154751521,-82.4492772,38.4082037
154751522,-82.4475753,38.4084985
154751523,-82.4458714,38.4087943
154751524,-82.4441688,38.4090955
154751526,-82.4424602,38.4093913
154751528,-82.4408188,38.4096788
154751530,-82.4407008,38.4096995
154751532,-82.4391225,38.409973
154751534,-82.438994,38.409995
154751541,-82.4373507,38.4102818
154751543,-82.4355845,38.4105898
154751551,-82.4097531,38.415813
154751553,-82.4104039,38.4148913
154751561,-82.4287066,38.4113574
154751563,-82.426858,38.4116747
154751565,-82.425394,38.411928
154751568,-82.424521,38.4120767
154751570,-82.4182152,38.4139577
154751571,-82.4174722,38.4140859
154751572,-82.4169995,38.4141726
154751581,-82.4245291,38.4125375
154751583,-82.4234589,38.412724
154751585,-82.4233201,38.4127478
154751588,-82.4215451,38.4130608
154751650,-82.4553175,38.41138
154751652,-82.4568786,38.410986
154751653,-82.4583243,38.4106182
154751657,-82.4598445,38.4102396
154751658,-82.4614,38.4098524
154751660,-82.4611646,38.40927
154751662,-82.4633667,38.4087247
154752288,-82.4266501,38.4069474
154752289,-82.4255906,38.4067719
154752299,-82.4006256,38.4113302
154752304,-82.4013326,38.4113113
154752305,-82.4017679,38.4113024
154752429,-82.4575538,38.40401
154752440,-82.4581526,38.4029202
154752454,-82.4597747,38.4025523
154752462,-82.4601482,38.4021146
154752502,-82.4589077,38.3973166
154752509,-82.4558996,38.4057804
154752792,-82.4756312,38.3997788
154753594,-82.4543103,38.3925584
154753603,-82.4579221,38.3943598
154753899,-82.4036741,38.3929227
154753923,-82.4093068,38.3926432
154753947,-82.4021514,38.3952447
154753976,-82.4018005,38.3922778
154756017,-82.4858966,38.4102775
154756069,-82.3806616,38.4273748
154756347,-82.3902039,38.431168
154756459,-82.3825571,38.4269817
154756527,-82.4032667,38.4310287
154756691,-82.3869601,38.4118844
154756699,-82.3861152,38.4131885
154756931,-82.407208,38.4263979
154756933,-82.4065036,38.4265223
154756935,-82.4056187,38.4266785
154757626,-82.4300726,38.4164717
154757756,-82.3936362,38.4293702
154757758,-82.3941698,38.4296231
154758635,-82.4205844,38.4160123
154758823,-82.4507672,38.4209293
154758855,-82.4502689,38.4215468
154758862,-82.4483632,38.4212174
154759400,-82.4480061,38.4133502
154759463,-82.4492383,38.4144398
154759464,-82.4483438,38.4145887
154759465,-82.4475076,38.414667
154759579,-82.4678796,38.3911983
154759592,-82.4689364,38.3905187
154759654,-82.4316924,38.4222016
154759749,-82.4356693,38.4140929
154759799,-82.4835391,38.4126358
154759882,-82.4316922,38.4136157
154759925,-82.4309746,38.4152484
154759928,-82.4320997,38.4150511
154760081,-82.4738776,38.4151534
154760100,-82.4669242,38.4129923
154760239,-82.4589164,38.4145133
154760832,-82.441173,38.4239066
154761622,-82.3629141,38.4142046
154762303,-82.4128411,38.3954061
154762535,-82.4776161,38.4013542
154762622,-82.4024108,38.4311806
154762628,-82.4022385,38.4305575
154763184,-82.4531905,38.3931744
154763202,-82.454384,38.392654
154763217,-82.4529753,38.393824
154763259,-82.4357685,38.4112757
154763680,-82.4600972,38.4066064
154764539,-82.4088556,38.4323031
154765218,-82.450448,38.3961558
154765243,-82.4474815,38.3944157
154765439,-82.4792601,38.4015671
154765891,-82.3994364,38.4157015
154766757,-82.4517314,38.4207146
154767479,-82.4833567,38.4121041
154767493,-82.4847742,38.4132805
154767505,-82.48486,38.4117084
154768106,-82.4077385,38.3939422
154769084,-82.4510893,38.3954627
154769109,-82.4578066,38.3945092
154769651,-82.4815247,38.4114404
154770151,-82.4829148,38.4081801
154770162,-82.4821973,38.4083714
154770178,-82.4978265,38.4090902
154770182,-82.4969367,38.4094343
154770527,-82.4022139,38.4272704
154770970,-82.3922581,38.4226012
154770989,-82.3931234,38.4222961
154771485,-82.4134236,38.4253154
154771623,-82.4050741,38.4280647
154771635,-82.4144821,38.4264281
154772241,-82.4068807,38.3937164
154772276,-82.4138521,38.3936012
154772300,-82.4705852,38.4108885
154772605,-82.4526836,38.4138673
154772607,-82.4509506,38.4141503
154772883,-82.4050665,38.4061115
154774280,-82.4616422,38.4000688
154774381,-82.4224833,38.4007368
154774408,-82.4318581,38.4040089
154774410,-82.4318522,38.4039333
154774773,-82.4039914,38.4355555
154775311,-82.4539838,38.3915099
154776144,-82.4325076,38.425145
154777662,-82.4684537,38.388933
154777668,-82.4283944,38.414248
154777775,-82.4572042,38.4170629
154777777,-82.4554967,38.4173317
154777778,-82.4538564,38.4176223
154777782,-82.4536609,38.417655
154777784,-82.4520221,38.4179385
154777786,-82.4503153,38.4182375
154777788,-82.4486102,38.4185355
154777790,-82.4468997,38.4188316
154777792,-82.4452072,38.4191272
154777794,-82.4434943,38.4194219
154777796,-82.4417833,38.4197168
154777797,-82.440085,38.4200164
154777799,-82.4383157,38.4203262
154777800,-82.4366082,38.420625
154777803,-82.4349066,38.4209201
